# 错误码配置表
# code  — 服务端错误码（整数字符串）
# type  — 展示方式：toast | popup | popup_close | recharge | silent
# extra — 补充描述（仅供参考，实际显示文案由 i18n JSON 中以 code 为 key 的翻译决定）
code,type,extra
# ── 通用 ─────────────────────────────────────────────────────────────────────
0,silent,SUCCESS
500,popup_close,服务器内部错误
501,popup_close,限流逻辑触发请求过于频繁
502,toast,服务器维护中
# ── 连接 ─────────────────────────────────────────────────────────────────────
1001,popup_close,连接数超限
1002,popup_close,连接超时
1003,silent,连接已关闭
1004,popup_close,心跳超时
1005,popup,游戏暂未结束玩家不能离开房间
# ── 认证 ─────────────────────────────────────────────────────────────────────
1100,popup_close,认证失败
1101,popup_close,Token过期
1102,popup_close,Token无效
1103,popup_close,Token缺失
1104,popup_close,Token缺失
1105,popup_close,Token缺失
1106,popup_close,用户不存在
1107,recharge,用户带入金币余额不足
1108,silent,用户游戏ID错误
# ── 参数 ─────────────────────────────────────────────────────────────────────
1200,silent,参数无效
1201,silent,缺少参数
1202,silent,格式错误
1203,silent,消息类型无效
1204,silent,数据包格式错误
# ── 房间 / 公共 ──────────────────────────────────────────────────────────────
2000,silent,游戏房间已满
2001,silent,游戏未开始
2002,silent,游戏已开始
2003,silent,用户已在房间中
2004,silent,用户不在房间中
2005,silent,房间不存在
2006,silent,房间已存在
2007,silent,房间未开放
2008,silent,房间Actor已停止
2009,toast,观众席已满
2010,toast,座位已被占用
2011,silent,座位号无效
2012,silent,座位号超出范围
2013,silent,玩家已经坐下
2014,silent,玩家没有坐下
2015,silent,玩家不在线
2016,silent,离开房间失败
2017,silent,发送弹幕失败
2018,toast,发送弹幕内容过长
2019,toast,发送弹幕太频繁
2020,silent,获取用户信息失败
2021,silent,获取房间信息失败
2022,silent,获取游戏信息失败
2023,silent,玩家不在任何房间中
2024,silent,房间类型无效
2025,silent,玩家类型无效
2026,toast,房间人数已满
2027,silent,玩家未准备
2028,silent,玩家已准备
2029,silent,玩家不在房间中
2030,silent,玩家游戏已结束
2031,silent,游戏未结束
2032,silent,游戏已结束
2033,silent,玩家未开始游戏
2034,silent,房间模式无效
2035,toast,房间模式已设置
2036,silent,玩家不存在
2037,silent,房间不存在
2038,silent,游戏不存在
2039,silent,权限不足
2040,silent,踢出房间参数无效
2041,silent,踢人下座参数无效
2042,silent,改变底分参数无效
2043,recharge,金币不足
2045,silent,自动准备失败
2046,silent,玩家设置key无效
2047,silent,玩家设置value无效
2048,silent,玩家设置不能为空
2049,silent,玩家在游戏中无法被系统移出房间
# ── 开麦 ─────────────────────────────────────────────────────────────────────
2201,silent,玩家已允许开麦
2202,toast,玩家已申请开麦
2203,silent,玩家未允许开麦
2204,toast,玩家开麦权限不够
2205,toast,玩家未申请开麦
2206,silent,玩家不是房主或管理员
2207,toast,当前麦位列表已满
2208,toast,玩家申请上麦冷却中
2209,silent,玩家是房主或管理员
2210,toast,邀请上麦冷却中
# ── 游戏状态 ─────────────────────────────────────────────────────────────────
